update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
12876,0.789445,0.747768,-23.351419,0.090751,50.377228,2.084067
12877,0.598261,0.629695,nan,0.090751,nan,1.677200
12878,0.802321,0.874640,-23.588856,0.090741,51.438110,2.114341
12879,0.602113,0.630312,nan,0.090741,nan,1.701528
12880,0.775526,0.780166,-22.407520,0.090730,50.989136,2.027146
12881,0.561142,0.581059,nan,0.090730,nan,1.584932
12882,0.670059,0.741331,-22.610474,0.090719,52.807762,1.805452
12883,0.536146,0.545781,nan,0.090719,nan,1.522053
12884,0.709267,0.683227,-23.331676,0.090709,50.891159,1.878127
12885,0.747920,0.715641,nan,0.090709,nan,1.942684
12886,0.462326,0.478725,-23.160692,0.090698,49.426014,1.347083
12887,0.760984,0.782924,nan,0.090698,nan,2.027288
12888,0.632337,0.619178,-23.189060,0.090687,49.506897,1.690109
12889,0.723258,0.767991,nan,0.090687,nan,1.943698
12890,0.794485,0.813385,-22.398401,0.090677,50.648792,2.041482
12891,0.517021,0.566813,nan,0.090677,nan,1.501332
12892,0.662997,0.734000,-22.914667,0.090666,50.908253,1.821635
12893,0.673353,0.692748,nan,0.090666,nan,1.830414
12894,0.774047,0.736553,-22.860992,0.090655,50.259987,2.034715
12895,0.546574,0.591241,nan,0.090655,nan,1.512560
12896,0.627111,0.684153,-22.955597,0.090645,50.319489,1.692641
12897,0.633372,0.649129,nan,0.090645,nan,1.739899
12898,0.577569,0.591238,-23.910622,0.090634,49.416176,1.641653
12899,0.755307,0.682300,nan,0.090634,nan,2.009826
12900,0.702457,0.750333,-23.620077,0.090623,48.874912,1.930761
12901,0.914645,0.812919,nan,0.090623,nan,2.345142
12902,0.752321,0.907800,-22.710369,0.090613,50.787388,2.007287
12903,0.711159,0.832024,nan,0.090613,nan,1.897695
12904,0.852257,0.833123,-23.750908,0.090602,52.208000,2.194395
12905,0.994369,0.971616,nan,0.090602,nan,2.501076
12906,0.965194,0.870800,-21.775354,0.090591,49.153442,2.394148
12907,0.667076,0.820624,nan,0.090591,nan,1.808948
12908,0.916077,0.883183,-23.260408,0.090581,52.361652,2.343464
12909,0.736995,0.652333,nan,0.090581,nan,1.973929
12910,0.604828,0.702668,-24.059788,0.090570,49.037231,1.692500
12911,0.734718,0.787997,nan,0.090570,nan,1.950844
12912,0.801778,0.783155,-23.220432,0.090560,50.747517,2.053304
12913,0.685495,0.731334,nan,0.090560,nan,1.856582
12914,0.877505,0.904673,-22.784552,0.090549,49.755905,2.239712
12915,0.711609,0.700203,nan,0.090549,nan,1.932374
12916,0.591479,0.562842,-24.211809,0.090538,51.902004,1.666375
12917,1.124541,1.026160,nan,0.090538,nan,2.754345
12918,0.924862,0.885886,-22.004230,0.090528,52.491829,2.346092
12919,0.929426,1.079194,nan,0.090528,nan,2.331095
12920,0.812090,1.239282,-22.852003,0.090517,50.253948,2.114151
12921,0.982640,0.842573,nan,0.090517,nan,2.463591
12922,0.856873,0.901808,-23.741562,0.090506,50.792625,2.177175
12923,0.761989,0.697385,nan,0.090506,nan,1.992449
12924,0.973833,0.847865,-23.028534,0.090496,51.751846,2.441536
12925,0.847890,0.702445,nan,0.090496,nan,2.182463
12926,0.761838,0.719253,-22.381384,0.090485,51.561546,1.998261
12927,0.917173,0.777784,nan,0.090485,nan,2.294634
12928,0.703284,0.623631,-22.946791,0.090474,49.238678,1.821721
12929,0.656854,0.668510,nan,0.090474,nan,1.755218
12930,0.887528,0.881347,-23.862171,0.090464,49.340359,2.266041
12931,0.808270,1.175508,nan,0.090464,nan,2.125037
12932,0.801028,0.859686,-22.253511,0.090453,51.881165,2.117289
12933,0.864466,1.258671,nan,0.090453,nan,2.266520
12934,0.918045,1.068185,-23.538637,0.090442,49.738892,2.360301
12935,0.701833,0.811774,nan,0.090442,nan,1.915047
12936,0.906065,0.985574,-23.212570,0.090432,48.824905,2.326765
12937,0.623892,0.604869,nan,0.090432,nan,1.719974
12938,0.761831,0.765429,-22.526442,0.090421,51.925240,2.036192
12939,0.792229,0.929545,nan,0.090421,nan,2.072078
12940,0.874892,0.994670,-23.997150,0.090411,48.354095,2.269456
12941,0.709902,0.797540,nan,0.090411,nan,1.907469
12942,0.703042,0.895562,-23.483055,0.090400,52.873535,1.927729
12943,0.902161,0.954596,nan,0.090400,nan,2.317678
12944,0.917312,0.781148,-23.778282,0.090389,50.178631,2.347786
12945,0.633659,0.792547,nan,0.090389,nan,1.779015
12946,0.821504,0.898906,-22.999229,0.090379,50.513691,2.122328
12947,0.793697,0.795993,nan,0.090379,nan,2.080266
12948,0.645699,0.708749,-24.142031,0.090368,51.252674,1.758765
12949,0.824280,0.946898,nan,0.090368,nan,2.121093
12950,0.700426,0.651626,-22.864464,0.090358,52.736397,1.909384
12951,0.781474,0.821837,nan,0.090358,nan,2.075889
12952,0.817243,0.691101,-23.102709,0.090347,50.343708,2.119561
12953,0.938913,0.869984,nan,0.090347,nan,2.362816
12954,0.914657,0.862802,-22.958712,0.090336,51.572891,2.339411
12955,0.731681,0.860848,nan,0.090336,nan,1.971086
12956,0.675229,0.699261,-23.919724,0.090326,50.581116,1.872115
